Id,Title,Price,User_id,ProfileName,review/score,review/text,review/time,Description,Authors,Publisher,PublishedDate,Categories,RatingsCount,AverageRating,review_length,CategoriesList
103,The Pragmatic Programmer,62.45,481,User 186,5,dense great practical practical dense great dense challenging insightful insightful insightful comprehensive great great comprehensive practical dense dense dense comprehensive clear dense comprehensive challenging,2020-11-07 23:00:00,Insightful discussion about The Pragmatic Programmer.,Andrew Hunt,Addison-Wesley,2010-01-01,programming,962,3.05,24,['programming']
140,The Pragmatic Programmer,59.91,104,User 85,3,clear insightful dense insightful clear dense comprehensive dense clear clear insightful challenging clear comprehensive practical challenging great practical practical comprehensive dense practical insightful comprehensive clear,2020-11-08 23:00:00,Insightful discussion about The Pragmatic Programmer.,Andrew Hunt,Addison-Wesley,2010-01-01,programming,962,3.05,25,['programming']
152,The Pragmatic Programmer,24.15,116,User 217,2,practical clear challenging dense great great insightful practical practical clear dense comprehensive comprehensive,2020-01-24 23:00:00,Insightful discussion about The Pragmatic Programmer.,Andrew Hunt,Addison-Wesley,2010-01-01,programming,962,3.05,13,['programming']
162,The Pragmatic Programmer,77.75,268,User 21,1,practical great comprehensive great challenging great clear insightful clear practical comprehensive dense insightful dense practical challenging practical comprehensive great clear practical clear practical great clear great great practical insightful,2020-07-05 22:00:00,Insightful discussion about The Pragmatic Programmer.,Andrew Hunt,Addison-Wesley,2010-01-01,programming,962,3.05,29,['programming']
164,The Pragmatic Programmer,63.01,377,User 45,4,dense clear great dense dense clear comprehensive dense practical challenging comprehensive challenging practical challenging clear practical great insightful clear comprehensive dense practical practical challenging clear dense,2020-12-17 23:00:00,Insightful discussion about The Pragmatic Programmer.,Andrew Hunt,Addison-Wesley,2010-01-01,programming,962,3.05,26,['programming']
194,The Pragmatic Programmer,55.32,317,User 294,2,challenging clear dense great great clear comprehensive great clear comprehensive insightful clear great practical dense practical comprehensive challenging,2020-10-06 22:00:00,Insightful discussion about The Pragmatic Programmer.,Andrew Hunt,Addison-Wesley,2010-01-01,programming,962,3.05,18,['programming']
201,The Pragmatic Programmer,50.14,447,User 480,4,great dense comprehensive insightful clear insightful clear great challenging insightful comprehensive challenging practical insightful comprehensive great challenging dense,2020-02-22 23:00:00,Insightful discussion about The Pragmatic Programmer.,Andrew Hunt,Addison-Wesley,2010-01-01,programming,962,3.05,18,['programming']
209,The Pragmatic Programmer,42.44,313,User 301,4,comprehensive challenging clear great dense comprehensive comprehensive challenging practical challenging clear comprehensive challenging challenging comprehensive comprehensive dense great great,2020-03-04 23:00:00,Insightful discussion about The Pragmatic Programmer.,Andrew Hunt,Addison-Wesley,2010-01-01,programming,962,3.05,19,['programming']
211,The Pragmatic Programmer,21.11,258,User 37,4,insightful practical comprehensive great great insightful great comprehensive dense great dense practical practical dense clear clear insightful challenging challenging dense clear great challenging comprehensive challenging great great practical comprehensive,2020-08-02 22:00:00,Insightful discussion about The Pragmatic Programmer.,Andrew Hunt,Addison-Wesley,2010-01-01,programming,962,3.05,29,['programming']
213,The Pragmatic Programmer,48.48,499,User 254,1,comprehensive challenging insightful dense challenging great dense challenging great great challenging comprehensive practical dense great comprehensive clear insightful insightful practical dense comprehensive comprehensive challenging clear dense great great,2020-02-05 23:00:00,Insightful discussion about The Pragmatic Programmer.,Andrew Hunt,Addison-Wesley,2010-01-01,programming,962,3.05,28,['programming']
217,The Pragmatic Programmer,10.28,363,User 145,3,insightful dense practical great challenging great challenging insightful clear insightful insightful great comprehensive dense comprehensive challenging practical dense dense clear practical insightful,2020-08-26 22:00:00,Insightful discussion about The Pragmatic Programmer.,Andrew Hunt,Addison-Wesley,2010-01-01,programming,962,3.05,22,['programming']
219,The Pragmatic Programmer,69.94,245,User 361,4,dense great dense practical great comprehensive practical insightful clear,2020-03-25 23:00:00,Insightful discussion about The Pragmatic Programmer.,Andrew Hunt,Addison-Wesley,2010-01-01,programming,962,3.05,9,['programming']
229,The Pragmatic Programmer,29.24,27,User 454,5,great challenging great dense insightful great insightful challenging insightful clear great challenging comprehensive comprehensive challenging clear insightful practical insightful great clear challenging comprehensive dense challenging challenging dense practical,2020-07-11 22:00:00,Insightful discussion about The Pragmatic Programmer.,Andrew Hunt,Addison-Wesley,2010-01-01,programming,962,3.05,28,['programming']
237,The Pragmatic Programmer,10.77,97,User 427,5,dense practical practical great great practical clear insightful clear challenging dense practical clear dense practical insightful dense great,2020-04-02 22:00:00,Insightful discussion about The Pragmatic Programmer.,Andrew Hunt,Addison-Wesley,2010-01-01,programming,962,3.05,18,['programming']
239,The Pragmatic Programmer,53.45,491,User 55,2,great dense dense insightful comprehensive practical practical practical challenging,2020-07-02 22:00:00,Insightful discussion about The Pragmatic Programmer.,Andrew Hunt,Addison-Wesley,2010-01-01,programming,962,3.05,9,['programming']
244,The Pragmatic Programmer,77.22,205,User 248,2,great dense practical clear challenging challenging challenging insightful challenging great clear comprehensive dense dense challenging practical great great insightful practical practical challenging great dense insightful comprehensive clear practical,2020-03-23 23:00:00,Insightful discussion about The Pragmatic Programmer.,Andrew Hunt,Addison-Wesley,2010-01-01,programming,962,3.05,28,['programming']
259,The Pragmatic Programmer,13.93,457,User 492,1,great clear clear clear dense comprehensive dense insightful practical clear,2020-02-27 23:00:00,Insightful discussion about The Pragmatic Programmer.,Andrew Hunt,Addison-Wesley,2010-01-01,programming,962,3.05,10,['programming']
290,The Pragmatic Programmer,31.91,343,User 164,3,practical practical comprehensive challenging dense great challenging challenging challenging comprehensive dense great challenging great comprehensive great insightful great clear challenging clear great challenging clear dense great challenging great,2020-06-13 22:00:00,Insightful discussion about The Pragmatic Programmer.,Andrew Hunt,Addison-Wesley,2010-01-01,programming,962,3.05,28,['programming']
349,The Pragmatic Programmer,21.78,235,User 223,5,insightful practical comprehensive great practical practical insightful practical great insightful challenging practical great challenging insightful clear comprehensive practical challenging comprehensive great challenging insightful insightful,2020-02-09 23:00:00,Insightful discussion about The Pragmatic Programmer.,Andrew Hunt,Addison-Wesley,2010-01-01,programming,962,3.05,24,['programming']
360,The Pragmatic Programmer,15.38,191,User 189,5,comprehensive insightful practical dense great comprehensive comprehensive dense clear insightful dense clear dense dense,2020-06-22 22:00:00,Insightful discussion about The Pragmatic Programmer.,Andrew Hunt,Addison-Wesley,2010-01-01,programming,962,3.05,14,['programming']
366,The Pragmatic Programmer,68.99,57,User 27,4,comprehensive comprehensive practical comprehensive clear challenging comprehensive insightful challenging insightful clear dense dense challenging great comprehensive practical comprehensive dense,2020-07-25 22:00:00,Insightful discussion about The Pragmatic Programmer.,Andrew Hunt,Addison-Wesley,2010-01-01,programming,962,3.05,19,['programming']
368,The Pragmatic Programmer,31.64,130,User 248,2,challenging dense great practical challenging clear great challenging dense great dense great great challenging insightful,2020-06-14 22:00:00,Insightful discussion about The Pragmatic Programmer.,Andrew Hunt,Addison-Wesley,2010-01-01,programming,962,3.05,15,['programming']
378,The Pragmatic Programmer,47.0,397,User 470,4,clear dense great comprehensive dense challenging challenging insightful insightful great comprehensive dense clear practical great practical insightful dense insightful comprehensive,2020-02-20 23:00:00,Insightful discussion about The Pragmatic Programmer.,Andrew Hunt,Addison-Wesley,2010-01-01,programming,962,3.05,20,['programming']
382,The Pragmatic Programmer,22.57,206,User 104,4,great clear comprehensive great comprehensive dense great comprehensive,2020-01-20 23:00:00,Insightful discussion about The Pragmatic Programmer.,Andrew Hunt,Addison-Wesley,2010-01-01,programming,962,3.05,8,['programming']
387,The Pragmatic Programmer,36.7,350,User 374,5,comprehensive challenging insightful clear practical dense clear challenging great practical dense dense practical challenging great insightful,2020-03-09 23:00:00,Insightful discussion about The Pragmatic Programmer.,Andrew Hunt,Addison-Wesley,2010-01-01,programming,962,3.05,16,['programming']
388,The Pragmatic Programmer,61.66,486,User 382,3,great dense great great challenging clear insightful insightful dense comprehensive comprehensive comprehensive clear practical,2020-01-11 23:00:00,Insightful discussion about The Pragmatic Programmer.,Andrew Hunt,Addison-Wesley,2010-01-01,programming,962,3.05,14,['programming']
402,The Pragmatic Programmer,14.24,441,User 201,2,clear great comprehensive challenging great comprehensive challenging comprehensive great insightful insightful challenging practical challenging challenging comprehensive challenging insightful clear comprehensive practical clear dense dense practical practical,2020-07-11 22:00:00,Insightful discussion about The Pragmatic Programmer.,Andrew Hunt,Addison-Wesley,2010-01-01,programming,962,3.05,26,['programming']
404,The Pragmatic Programmer,35.55,182,User 434,1,clear challenging practical comprehensive practical dense great challenging practical clear practical practical great,2020-07-23 22:00:00,Insightful discussion about The Pragmatic Programmer.,Andrew Hunt,Addison-Wesley,2010-01-01,programming,962,3.05,13,['programming']
409,The Pragmatic Programmer,14.37,87,User 108,4,comprehensive insightful insightful great dense comprehensive comprehensive clear clear clear great practical great insightful great dense insightful practical challenging insightful dense dense dense challenging clear dense great clear,2020-08-06 22:00:00,Insightful discussion about The Pragmatic Programmer.,Andrew Hunt,Addison-Wesley,2010-01-01,programming,962,3.05,28,['programming']
447,The Pragmatic Programmer,68.81,164,User 153,3,insightful practical practical dense clear practical clear insightful comprehensive great great,2020-08-02 22:00:00,Insightful discussion about The Pragmatic Programmer.,Andrew Hunt,Addison-Wesley,2010-01-01,programming,962,3.05,11,['programming']
454,The Pragmatic Programmer,40.26,337,User 27,4,challenging practical dense dense great comprehensive comprehensive comprehensive dense challenging dense clear dense practical insightful clear insightful insightful insightful insightful dense comprehensive clear great challenging great insightful comprehensive,2020-01-31 23:00:00,Insightful discussion about The Pragmatic Programmer.,Andrew Hunt,Addison-Wesley,2010-01-01,programming,962,3.05,28,['programming']
457,The Pragmatic Programmer,47.98,444,User 432,2,clear comprehensive dense dense comprehensive insightful insightful challenging great practical insightful practical great dense clear clear insightful dense great dense dense great clear dense,2020-05-19 22:00:00,Insightful discussion about The Pragmatic Programmer.,Andrew Hunt,Addison-Wesley,2010-01-01,programming,962,3.05,24,['programming']
460,The Pragmatic Programmer,24.99,216,User 21,3,clear great insightful comprehensive great challenging insightful practical practical great clear comprehensive practical great dense practical challenging great insightful comprehensive,2020-11-23 23:00:00,Insightful discussion about The Pragmatic Programmer.,Andrew Hunt,Addison-Wesley,2010-01-01,programming,962,3.05,20,['programming']
475,The Pragmatic Programmer,44.54,63,User 146,2,challenging clear practical comprehensive challenging challenging comprehensive clear great insightful great practical practical insightful great dense insightful clear clear great great practical insightful practical dense great dense,2020-05-21 22:00:00,Insightful discussion about The Pragmatic Programmer.,Andrew Hunt,Addison-Wesley,2010-01-01,programming,962,3.05,27,['programming']
480,The Pragmatic Programmer,42.52,139,User 156,1,challenging challenging dense comprehensive challenging dense dense practical dense challenging dense clear clear comprehensive comprehensive great comprehensive insightful practical comprehensive clear comprehensive insightful dense insightful practical,2020-08-17 22:00:00,Insightful discussion about The Pragmatic Programmer.,Andrew Hunt,Addison-Wesley,2010-01-01,programming,962,3.05,26,['programming']
501,The Pragmatic Programmer,30.14,350,User 269,2,clear practical practical practical great comprehensive great great clear practical clear great comprehensive insightful great challenging comprehensive great clear,2020-05-17 22:00:00,Insightful discussion about The Pragmatic Programmer.,Andrew Hunt,Addison-Wesley,2010-01-01,programming,962,3.05,19,['programming']
527,The Pragmatic Programmer,67.94,279,User 167,5,clear clear dense comprehensive clear dense comprehensive dense clear insightful challenging clear practical comprehensive dense comprehensive clear,2020-01-11 23:00:00,Insightful discussion about The Pragmatic Programmer.,Andrew Hunt,Addison-Wesley,2010-01-01,programming,962,3.05,17,['programming']
533,The Pragmatic Programmer,71.87,496,User 262,5,clear practical practical practical clear comprehensive insightful practical dense challenging practical insightful challenging challenging comprehensive,2020-05-03 22:00:00,Insightful discussion about The Pragmatic Programmer.,Andrew Hunt,Addison-Wesley,2010-01-01,programming,962,3.05,15,['programming']
537,The Pragmatic Programmer,44.85,288,User 483,3,practical great practical practical dense comprehensive comprehensive practical challenging practical practical great great great practical great challenging clear great great practical great challenging challenging insightful dense practical challenging practical insightful,2020-06-11 22:00:00,Insightful discussion about The Pragmatic Programmer.,Andrew Hunt,Addison-Wesley,2010-01-01,programming,962,3.05,30,['programming']
549,The Pragmatic Programmer,46.13,4,User 244,4,practical great comprehensive great challenging comprehensive practical practical clear dense comprehensive insightful practical dense great dense dense challenging clear dense practical dense dense challenging comprehensive,2020-05-15 22:00:00,Insightful discussion about The Pragmatic Programmer.,Andrew Hunt,Addison-Wesley,2010-01-01,programming,962,3.05,25,['programming']
550,The Pragmatic Programmer,10.7,374,User 338,3,dense comprehensive practical clear dense challenging clear insightful practical dense practical clear clear insightful insightful clear insightful practical dense great great challenging clear insightful insightful,2020-11-17 23:00:00,Insightful discussion about The Pragmatic Programmer.,Andrew Hunt,Addison-Wesley,2010-01-01,programming,962,3.05,25,['programming']
552,The Pragmatic Programmer,58.6,144,User 11,2,dense challenging clear comprehensive insightful practical insightful dense challenging practical practical,2020-05-03 22:00:00,Insightful discussion about The Pragmatic Programmer.,Andrew Hunt,Addison-Wesley,2010-01-01,programming,962,3.05,11,['programming']
560,The Pragmatic Programmer,64.36,150,User 403,2,insightful great challenging insightful dense comprehensive dense dense comprehensive dense insightful insightful clear great dense insightful challenging clear challenging challenging challenging,2020-12-03 23:00:00,Insightful discussion about The Pragmatic Programmer.,Andrew Hunt,Addison-Wesley,2010-01-01,programming,962,3.05,21,['programming']
564,The Pragmatic Programmer,41.92,459,User 311,4,challenging practical challenging comprehensive clear clear great insightful clear great clear comprehensive great dense clear dense insightful great clear insightful insightful great great,2020-02-12 23:00:00,Insightful discussion about The Pragmatic Programmer.,Andrew Hunt,Addison-Wesley,2010-01-01,programming,962,3.05,23,['programming']
571,The Pragmatic Programmer,51.67,221,User 161,2,comprehensive clear great dense dense great practical great challenging comprehensive dense clear comprehensive clear great great insightful great practical challenging insightful dense great great insightful,2020-02-08 23:00:00,Insightful discussion about The Pragmatic Programmer.,Andrew Hunt,Addison-Wesley,2010-01-01,programming,962,3.05,25,['programming']
586,The Pragmatic Programmer,49.38,351,User 428,4,clear challenging clear insightful dense great great great clear clear great challenging,2020-02-13 23:00:00,Insightful discussion about The Pragmatic Programmer.,Andrew Hunt,Addison-Wesley,2010-01-01,programming,962,3.05,12,['programming']
591,The Pragmatic Programmer,50.47,92,User 489,3,challenging clear great insightful great comprehensive great comprehensive dense comprehensive challenging,2020-10-06 22:00:00,Insightful discussion about The Pragmatic Programmer.,Andrew Hunt,Addison-Wesley,2010-01-01,programming,962,3.05,11,['programming']
598,The Pragmatic Programmer,30.84,143,User 99,5,great challenging practical great challenging dense practical insightful clear practical dense challenging dense insightful great comprehensive practical dense challenging practical insightful insightful dense,2020-01-09 23:00:00,Insightful discussion about The Pragmatic Programmer.,Andrew Hunt,Addison-Wesley,2010-01-01,programming,962,3.05,23,['programming']
605,The Pragmatic Programmer,61.41,488,User 380,3,practical challenging practical comprehensive great insightful practical dense practical comprehensive,2020-01-14 23:00:00,Insightful discussion about The Pragmatic Programmer.,Andrew Hunt,Addison-Wesley,2010-01-01,programming,962,3.05,10,['programming']
609,The Pragmatic Programmer,61.91,232,User 245,5,insightful great insightful practical comprehensive clear practical challenging practical great,2020-01-12 23:00:00,Insightful discussion about The Pragmatic Programmer.,Andrew Hunt,Addison-Wesley,2010-01-01,programming,962,3.05,10,['programming']
624,The Pragmatic Programmer,22.7,252,User 398,5,insightful practical clear challenging practical insightful challenging practical insightful comprehensive insightful great challenging great dense great,2020-01-09 23:00:00,Insightful discussion about The Pragmatic Programmer.,Andrew Hunt,Addison-Wesley,2010-01-01,programming,962,3.05,16,['programming']
632,The Pragmatic Programmer,60.18,399,User 249,1,insightful great challenging comprehensive clear great insightful great clear great comprehensive insightful insightful great comprehensive insightful,2020-07-04 22:00:00,Insightful discussion about The Pragmatic Programmer.,Andrew Hunt,Addison-Wesley,2010-01-01,programming,962,3.05,16,['programming']
636,The Pragmatic Programmer,14.31,115,User 440,5,great dense practical challenging great dense challenging practical insightful dense insightful insightful great great challenging comprehensive practical dense great comprehensive practical clear great insightful,2020-07-02 22:00:00,Insightful discussion about The Pragmatic Programmer.,Andrew Hunt,Addison-Wesley,2010-01-01,programming,962,3.05,24,['programming']
647,The Pragmatic Programmer,37.18,301,User 283,3,dense insightful clear challenging comprehensive challenging dense dense great practical dense great challenging great clear dense dense insightful great comprehensive practical comprehensive insightful clear great clear challenging challenging clear clear,2020-08-09 22:00:00,Insightful discussion about The Pragmatic Programmer.,Andrew Hunt,Addison-Wesley,2010-01-01,programming,962,3.05,30,['programming']
651,The Pragmatic Programmer,62.43,388,User 224,4,clear comprehensive clear insightful comprehensive practical dense great great great challenging challenging insightful great comprehensive insightful insightful great great comprehensive clear clear comprehensive great dense,2020-03-04 23:00:00,Insightful discussion about The Pragmatic Programmer.,Andrew Hunt,Addison-Wesley,2010-01-01,programming,962,3.05,25,['programming']
655,The Pragmatic Programmer,19.22,133,User 14,1,practical dense great dense comprehensive challenging practical insightful great practical clear dense comprehensive comprehensive clear comprehensive great clear practical dense challenging insightful insightful clear comprehensive dense practical comprehensive clear insightful,2020-09-09 22:00:00,Insightful discussion about The Pragmatic Programmer.,Andrew Hunt,Addison-Wesley,2010-01-01,programming,962,3.05,30,['programming']
657,The Pragmatic Programmer,79.04,292,User 192,4,dense clear practical great great challenging great comprehensive practical practical great practical comprehensive clear comprehensive great clear dense practical clear challenging dense dense challenging insightful,2020-02-16 23:00:00,Insightful discussion about The Pragmatic Programmer.,Andrew Hunt,Addison-Wesley,2010-01-01,programming,962,3.05,25,['programming']
659,The Pragmatic Programmer,67.82,135,User 206,1,great dense challenging comprehensive insightful insightful practical clear great practical insightful insightful,2020-12-14 23:00:00,Insightful discussion about The Pragmatic Programmer.,Andrew Hunt,Addison-Wesley,2010-01-01,programming,962,3.05,12,['programming']
665,The Pragmatic Programmer,72.9,358,User 175,3,challenging clear clear challenging insightful clear insightful insightful insightful practical,2020-07-20 22:00:00,Insightful discussion about The Pragmatic Programmer.,Andrew Hunt,Addison-Wesley,2010-01-01,programming,962,3.05,10,['programming']
686,The Pragmatic Programmer,41.06,150,User 112,2,insightful practical challenging dense great challenging comprehensive comprehensive great practical clear dense great dense challenging insightful comprehensive dense dense dense comprehensive clear comprehensive,2020-12-14 23:00:00,Insightful discussion about The Pragmatic Programmer.,Andrew Hunt,Addison-Wesley,2010-01-01,programming,962,3.05,23,['programming']
692,The Pragmatic Programmer,55.65,185,User 47,1,practical practical practical insightful practical challenging clear great great clear,2020-03-05 23:00:00,Insightful discussion about The Pragmatic Programmer.,Andrew Hunt,Addison-Wesley,2010-01-01,programming,962,3.05,10,['programming']
698,The Pragmatic Programmer,31.89,36,User 84,4,comprehensive practical challenging insightful practical practical great insightful,2020-11-12 23:00:00,Insightful discussion about The Pragmatic Programmer.,Andrew Hunt,Addison-Wesley,2010-01-01,programming,962,3.05,8,['programming']
701,The Pragmatic Programmer,15.1,483,User 43,3,challenging challenging great insightful dense insightful insightful clear dense comprehensive dense challenging insightful challenging great challenging dense great practical,2020-08-22 22:00:00,Insightful discussion about The Pragmatic Programmer.,Andrew Hunt,Addison-Wesley,2010-01-01,programming,962,3.05,19,['programming']
755,The Pragmatic Programmer,57.28,297,User 349,2,comprehensive comprehensive great great dense great challenging dense clear insightful insightful comprehensive great clear great great insightful challenging insightful challenging practical challenging great comprehensive,2020-08-18 22:00:00,Insightful discussion about The Pragmatic Programmer.,Andrew Hunt,Addison-Wesley,2010-01-01,programming,962,3.05,24,['programming']
760,The Pragmatic Programmer,58.97,216,User 434,3,insightful practical clear challenging great practical comprehensive insightful great insightful practical great challenging insightful clear insightful dense great great insightful,2020-07-02 22:00:00,Insightful discussion about The Pragmatic Programmer.,Andrew Hunt,Addison-Wesley,2010-01-01,programming,962,3.05,20,['programming']
773,The Pragmatic Programmer,59.06,82,User 170,1,comprehensive dense challenging great practical dense great great,2020-12-17 23:00:00,Insightful discussion about The Pragmatic Programmer.,Andrew Hunt,Addison-Wesley,2010-01-01,programming,962,3.05,8,['programming']
776,The Pragmatic Programmer,34.69,470,User 459,5,challenging dense comprehensive challenging comprehensive clear clear dense dense clear insightful dense challenging clear comprehensive challenging comprehensive comprehensive challenging dense dense insightful practical great clear,2020-04-23 22:00:00,Insightful discussion about The Pragmatic Programmer.,Andrew Hunt,Addison-Wesley,2010-01-01,programming,962,3.05,25,['programming']
818,The Pragmatic Programmer,33.77,112,User 448,1,practical comprehensive dense insightful insightful great dense dense clear insightful practical clear challenging comprehensive comprehensive comprehensive great challenging challenging challenging dense great insightful practical comprehensive challenging clear clear dense,2020-03-21 23:00:00,Insightful discussion about The Pragmatic Programmer.,Andrew Hunt,Addison-Wesley,2010-01-01,programming,962,3.05,29,['programming']
822,The Pragmatic Programmer,44.4,470,User 70,5,insightful insightful great challenging dense dense practical clear dense dense insightful practical comprehensive comprehensive,2020-11-05 23:00:00,Insightful discussion about The Pragmatic Programmer.,Andrew Hunt,Addison-Wesley,2010-01-01,programming,962,3.05,14,['programming']
830,The Pragmatic Programmer,46.83,242,User 315,5,practical dense practical great insightful insightful great dense,2020-02-01 23:00:00,Insightful discussion about The Pragmatic Programmer.,Andrew Hunt,Addison-Wesley,2010-01-01,programming,962,3.05,8,['programming']
841,The Pragmatic Programmer,54.1,276,User 240,1,great insightful practical clear challenging great challenging great practical great clear practical challenging challenging practical comprehensive clear insightful comprehensive comprehensive dense practical insightful comprehensive comprehensive practical challenging clear dense,2020-06-07 22:00:00,Insightful discussion about The Pragmatic Programmer.,Andrew Hunt,Addison-Wesley,2010-01-01,programming,962,3.05,29,['programming']
842,The Pragmatic Programmer,27.65,256,User 332,4,challenging insightful practical clear practical practical dense great insightful practical insightful practical great challenging practical practical great clear great great dense insightful practical insightful comprehensive practical insightful challenging,2020-11-17 23:00:00,Insightful discussion about The Pragmatic Programmer.,Andrew Hunt,Addison-Wesley,2010-01-01,programming,962,3.05,28,['programming']
843,The Pragmatic Programmer,26.62,329,User 270,3,practical comprehensive insightful comprehensive comprehensive insightful great insightful great dense dense dense,2020-02-09 23:00:00,Insightful discussion about The Pragmatic Programmer.,Andrew Hunt,Addison-Wesley,2010-01-01,programming,962,3.05,12,['programming']
844,The Pragmatic Programmer,29.74,433,User 326,5,insightful clear challenging clear challenging insightful dense challenging dense,2020-08-25 22:00:00,Insightful discussion about The Pragmatic Programmer.,Andrew Hunt,Addison-Wesley,2010-01-01,programming,962,3.05,9,['programming']
850,The Pragmatic Programmer,16.16,317,User 107,2,clear insightful comprehensive insightful clear challenging dense great clear challenging dense challenging challenging insightful dense dense great practical challenging insightful comprehensive comprehensive dense great clear great challenging dense,2020-05-04 22:00:00,Insightful discussion about The Pragmatic Programmer.,Andrew Hunt,Addison-Wesley,2010-01-01,programming,962,3.05,28,['programming']
878,The Pragmatic Programmer,36.96,83,User 40,4,dense dense dense dense comprehensive comprehensive great challenging insightful insightful great practical comprehensive great insightful dense great practical,2020-09-08 22:00:00,Insightful discussion about The Pragmatic Programmer.,Andrew Hunt,Addison-Wesley,2010-01-01,programming,962,3.05,18,['programming']
884,The Pragmatic Programmer,30.86,306,User 71,1,insightful comprehensive clear comprehensive challenging practical comprehensive great dense challenging insightful,2020-01-25 23:00:00,Insightful discussion about The Pragmatic Programmer.,Andrew Hunt,Addison-Wesley,2010-01-01,programming,962,3.05,11,['programming']
898,The Pragmatic Programmer,78.26,476,User 344,4,insightful practical dense comprehensive comprehensive challenging practical comprehensive practical comprehensive comprehensive insightful comprehensive comprehensive challenging challenging dense great clear dense clear challenging insightful great practical practical,2020-06-11 22:00:00,Insightful discussion about The Pragmatic Programmer.,Andrew Hunt,Addison-Wesley,2010-01-01,programming,962,3.05,26,['programming']
900,The Pragmatic Programmer,50.0,296,User 259,1,clear great great clear challenging challenging dense practical insightful comprehensive comprehensive clear great insightful great dense comprehensive practical insightful,2020-07-27 22:00:00,Insightful discussion about The Pragmatic Programmer.,Andrew Hunt,Addison-Wesley,2010-01-01,programming,962,3.05,19,['programming']
902,The Pragmatic Programmer,65.43,401,User 381,4,practical challenging challenging clear great great great practical comprehensive clear,2020-02-12 23:00:00,Insightful discussion about The Pragmatic Programmer.,Andrew Hunt,Addison-Wesley,2010-01-01,programming,962,3.05,10,['programming']
924,The Pragmatic Programmer,23.23,103,User 29,2,dense challenging practical insightful clear challenging insightful challenging great,2020-10-13 22:00:00,Insightful discussion about The Pragmatic Programmer.,Andrew Hunt,Addison-Wesley,2010-01-01,programming,962,3.05,9,['programming']
931,The Pragmatic Programmer,38.21,500,User 170,2,practical comprehensive clear insightful practical clear great insightful comprehensive clear dense practical practical insightful challenging practical clear practical clear challenging challenging clear great clear practical challenging comprehensive practical comprehensive insightful,2020-12-01 23:00:00,Insightful discussion about The Pragmatic Programmer.,Andrew Hunt,Addison-Wesley,2010-01-01,programming,962,3.05,30,['programming']
