Id,Title,Price,User_id,profileName,review/score,review/text,review/time
19,Data Pipelines Pocket Reference,18.47,470,User 169,3,challenging challenging comprehensive challenging great clear practical challenging dense comprehensive challenging challenging challenging insightful challenging comprehensive comprehensive insightful great comprehensive clear great dense comprehensive clear comprehensive comprehensive challenging,1582671600
20,Building Microservices,37.56,292,User 28,5,insightful comprehensive practical clear comprehensive great insightful insightful challenging comprehensive dense comprehensive challenging clear insightful practical dense challenging great practical insightful dense clear dense dense comprehensive challenging challenging great great,1599688800
21,The Pragmatic Programmer,24.58,19,User 80,5,challenging great comprehensive clear dense comprehensive practical practical comprehensive dense practical,1580598000
22,Designing Data-Intensive Applications,20.66,412,User 330,2,practical comprehensive dense practical insightful clear dense clear challenging great clear great practical practical dense practical practical great challenging insightful clear dense great comprehensive clear comprehensive clear clear clear challenging,1606345200
23,Hands-On Machine Learning,23.91,21,User 192,1,great clear clear practical challenging challenging practical insightful comprehensive great practical great challenging challenging clear challenging clear dense comprehensive practical clear clear challenging practical insightful practical,1583622000
24,Clean Code,61.02,431,User 28,5,clear comprehensive great insightful practical practical comprehensive clear clear challenging dense practical clear dense practical dense insightful challenging dense dense great clear challenging comprehensive great dense comprehensive great comprehensive dense,1580598000
25,Hands-On Machine Learning,35.56,399,User 123,5,practical dense clear clear practical practical great great dense clear clear comprehensive clear comprehensive practical great challenging comprehensive comprehensive great insightful great dense challenging great dense comprehensive practical great insightful,1591567200
26,Hands-On Machine Learning,58.86,378,User 251,1,great dense comprehensive insightful great great insightful great great clear practical dense clear challenging clear comprehensive great comprehensive dense comprehensive,1607641200
27,Hands-On Machine Learning,34.44,171,User 311,2,great comprehensive comprehensive clear clear comprehensive comprehensive comprehensive dense insightful clear,1579474800
28,Python Data Science Handbook,68.69,107,User 170,2,dense insightful comprehensive clear insightful dense comprehensive practical dense challenging dense challenging great comprehensive dense great challenging clear comprehensive dense dense insightful great practical clear dense practical practical clear insightful,1599516000
29,Introduction to Algorithms,66.56,43,User 299,4,great dense practical great insightful practical great challenging clear comprehensive insightful insightful insightful clear comprehensive practical great challenging challenging clear practical great insightful comprehensive practical,1583881200
30,The Pragmatic Programmer,17.04,22,User 178,2,insightful dense insightful challenging dense practical insightful great challenging insightful,1588716000
31,Python Data Science Handbook,63.54,298,User 189,4,practical comprehensive dense practical challenging insightful insightful clear,1597615200
32,Effective Python,79.25,301,User 360,2,dense insightful challenging great comprehensive insightful great clear practical practical insightful practical insightful,1602626400
33,Clean Code,65.34,129,User 288,3,insightful insightful insightful insightful practical challenging comprehensive comprehensive dense insightful comprehensive great dense great dense great,1589148000
34,Effective Python,40.87,384,User 375,4,great dense challenging comprehensive great challenging challenging practical insightful dense great practical comprehensive clear dense insightful insightful,1605999600
35,Hands-On Machine Learning,24.49,232,User 387,2,dense clear comprehensive comprehensive insightful practical clear challenging comprehensive practical practical great challenging challenging insightful practical insightful practical dense practical comprehensive practical practical comprehensive challenging great great great insightful,1596664800
36,Effective Python,26.94,65,User 89,3,dense great dense insightful clear practical clear great clear dense practical challenging challenging insightful comprehensive challenging dense clear practical great,1584226800
37,Introduction to Algorithms,26.03,266,User 254,1,clear challenging comprehensive clear challenging insightful practical great dense dense dense dense practical insightful clear clear practical dense insightful insightful practical dense insightful challenging insightful dense great,1594418400
38,Effective Python,27.31,40,User 487,3,insightful comprehensive practical clear practical great practical clear great practical challenging clear comprehensive great practical clear challenging clear practical insightful practical comprehensive practical insightful dense practical practical challenging,1597183200
39,Data Pipelines Pocket Reference,50.91,82,User 235,4,great great practical clear practical comprehensive dense insightful comprehensive insightful insightful challenging great insightful great practical comprehensive clear challenging great challenging practical practical challenging,1604617200
40,Designing Data-Intensive Applications,13.76,256,User 175,3,practical comprehensive challenging great challenging practical comprehensive challenging insightful practical insightful insightful dense practical,1604271600
41,Effective Python,63.12,328,User 175,4,great dense practical practical comprehensive insightful challenging great practical challenging insightful clear dense great dense dense dense practical clear dense dense challenging practical great great great clear clear practical great,1597788000
42,Data Pipelines Pocket Reference,26.17,285,User 72,2,insightful great challenging clear comprehensive insightful great insightful challenging challenging great dense comprehensive clear practical,1607468400
43,Clean Code,64.05,355,User 267,5,insightful clear challenging challenging insightful dense great clear great great challenging comprehensive dense practical clear great dense practical challenging clear,1583362800
44,Building Microservices,21.47,446,User 297,3,great challenging dense challenging insightful dense insightful practical clear dense great dense great challenging practical dense,1603144800
45,Deep Learning with Python,47.33,288,User 462,3,practical challenging practical comprehensive insightful insightful practical comprehensive great challenging insightful comprehensive practical comprehensive dense challenging practical insightful challenging practical clear clear great,1604530800
46,Effective Python,43.63,220,User 72,4,challenging insightful clear great practical clear challenging comprehensive comprehensive practical comprehensive,1588024800
47,Building Microservices,62.48,455,User 269,4,comprehensive clear great challenging insightful dense dense dense insightful challenging insightful challenging comprehensive comprehensive insightful comprehensive clear comprehensive clear,1598306400
48,Effective Python,10.55,258,User 317,1,insightful dense clear comprehensive clear clear clear insightful challenging dense great great comprehensive challenging challenging comprehensive clear practical challenging great clear clear great dense great insightful clear clear challenging clear,1577919600
49,Clean Code,26.95,485,User 246,5,comprehensive practical challenging great clear challenging practical insightful practical practical comprehensive dense great insightful insightful comprehensive insightful great clear comprehensive dense challenging dense clear,1585177200
50,Clean Code,63.86,411,User 300,4,comprehensive great insightful practical great comprehensive challenging practical great clear practical challenging clear challenging dense insightful clear great dense comprehensive great insightful great dense clear clear clear challenging insightful insightful,1590357600
51,Effective Python,50.92,3,User 160,5,dense great comprehensive comprehensive challenging challenging practical comprehensive comprehensive dense clear dense insightful clear insightful great,1595368800
52,Clean Code,35.41,462,User 376,1,clear great comprehensive insightful practical challenging insightful practical practical insightful insightful dense dense challenging dense comprehensive insightful great great great clear challenging challenging dense great challenging challenging dense practical dense,1583794800
53,Deep Learning with Python,71.87,280,User 213,3,insightful insightful clear challenging dense comprehensive great challenging comprehensive dense challenging insightful clear insightful great practical practical comprehensive challenging challenging challenging challenging great practical practical practical challenging,1591653600
54,Designing Data-Intensive Applications,45.86,172,User 468,2,insightful dense challenging challenging insightful challenging practical clear comprehensive clear practical clear dense great practical great comprehensive great challenging challenging challenging great comprehensive,1580943600
55,Python Data Science Handbook,35.01,493,User 345,3,great clear clear comprehensive dense challenging practical dense practical challenging insightful challenging insightful challenging dense insightful practical great challenging challenging clear insightful great clear challenging dense comprehensive insightful great dense,1588024800
56,Data Pipelines Pocket Reference,18.66,140,User 313,1,challenging great dense practical comprehensive practical clear dense dense dense great great insightful challenging clear challenging insightful clear clear challenging practical comprehensive clear challenging dense challenging great dense,1585951200
57,Building Microservices,74.23,180,User 257,2,comprehensive great great great clear clear clear dense insightful comprehensive clear clear challenging dense challenging insightful comprehensive clear clear dense,1590357600
58,Hands-On Machine Learning,74.05,261,User 248,2,dense practical great comprehensive insightful great insightful dense practical challenging practical challenging clear dense insightful challenging great dense comprehensive comprehensive great insightful insightful challenging practical great,1584572400
59,Clean Code,35.19,455,User 170,5,practical comprehensive challenging comprehensive insightful great clear great clear insightful clear challenging great great,1602712800
60,The Pragmatic Programmer,67.17,119,User 66,4,challenging practical challenging comprehensive great great challenging dense insightful practical dense clear comprehensive comprehensive practical insightful great clear comprehensive insightful clear comprehensive comprehensive comprehensive clear insightful comprehensive insightful,1594764000
61,Data Pipelines Pocket Reference,27.84,442,User 285,5,dense comprehensive challenging clear clear insightful clear challenging practical insightful clear great practical great great insightful dense great challenging insightful challenging great practical dense great practical comprehensive practical,1602021600
62,Python Data Science Handbook,22.98,19,User 458,1,practical clear challenging practical great dense comprehensive comprehensive comprehensive great practical practical dense insightful dense practical insightful challenging practical clear comprehensive comprehensive great,1591567200
63,Python Data Science Handbook,28.22,189,User 433,2,comprehensive great insightful challenging great clear dense dense,1584140400
64,Introduction to Algorithms,51.24,337,User 188,5,dense comprehensive comprehensive clear comprehensive dense comprehensive comprehensive insightful clear comprehensive insightful dense practical great challenging challenging clear clear clear clear practical challenging,1581289200
65,Hands-On Machine Learning,64.15,53,User 135,5,clear insightful comprehensive dense challenging dense challenging insightful comprehensive great great challenging comprehensive,1581894000
66,Building Microservices,77.62,140,User 84,2,insightful insightful great comprehensive great great practical dense great dense insightful comprehensive insightful great challenging practical dense challenging insightful practical great dense insightful practical challenging insightful,1591135200
67,Effective Python,43.81,51,User 483,3,challenging practical great great clear challenging challenging comprehensive great clear comprehensive comprehensive,1599429600
68,Introduction to Algorithms,63.25,249,User 453,5,challenging comprehensive clear clear dense great comprehensive comprehensive great dense dense dense comprehensive great dense dense dense challenging great comprehensive challenging insightful great,1606086000
69,Clean Code,31.62,104,User 273,1,practical dense practical challenging insightful dense great comprehensive great great comprehensive challenging,1580684400
70,Designing Data-Intensive Applications,72.98,18,User 378,3,clear insightful challenging insightful great dense clear great practical comprehensive clear dense dense,1587852000
71,Clean Code,30.71,430,User 122,5,insightful great challenging comprehensive practical comprehensive challenging insightful comprehensive comprehensive comprehensive insightful dense dense insightful,1591826400
72,The Pragmatic Programmer,37.39,191,User 344,5,challenging comprehensive challenging challenging insightful challenging challenging great insightful dense practical dense insightful insightful challenging dense,1592258400
73,Building Microservices,62.6,402,User 54,3,clear great practical insightful practical great clear challenging insightful comprehensive clear practical great clear dense clear comprehensive great clear dense great comprehensive insightful practical comprehensive practical comprehensive,1596319200
74,Building Microservices,69.66,435,User 315,2,insightful great dense challenging dense clear comprehensive practical dense insightful challenging dense,1606777200
75,Building Microservices,55.2,488,User 463,2,comprehensive comprehensive insightful great comprehensive dense practical challenging clear comprehensive clear comprehensive clear clear challenging insightful practical clear great great dense great clear challenging practical clear,1601676000
76,Effective Python,56.3,204,User 378,2,insightful insightful dense great clear insightful great clear clear comprehensive great comprehensive insightful challenging comprehensive great comprehensive insightful great insightful,1608850800
77,Building Microservices,46.18,315,User 413,4,clear great dense comprehensive challenging clear dense challenging dense great practical comprehensive practical insightful clear dense clear insightful practical clear practical practical clear insightful challenging,1580166000
78,Python Data Science Handbook,16.6,363,User 470,2,challenging great practical clear dense dense insightful great great insightful clear insightful dense practical great insightful practical insightful practical clear challenging challenging practical,1577919600
79,Designing Data-Intensive Applications,77.91,358,User 371,1,comprehensive great insightful challenging clear challenging comprehensive insightful practical great practical clear comprehensive clear great clear dense clear practical challenging challenging comprehensive insightful insightful practical great insightful,1595109600
80,Deep Learning with Python,34.3,62,User 294,3,great challenging comprehensive clear great challenging clear practical clear challenging clear dense great dense clear dense dense clear great dense dense challenging,1581548400
81,The Pragmatic Programmer,49.29,370,User 136,1,dense insightful practical dense dense dense practical insightful insightful challenging insightful dense comprehensive practical great,1583276400
82,Designing Data-Intensive Applications,24.94,42,User 40,1,practical insightful great insightful dense clear comprehensive challenging practical great great challenging challenging dense insightful clear clear comprehensive dense insightful dense challenging,1594504800
83,Hands-On Machine Learning,61.86,447,User 7,1,dense dense dense insightful comprehensive comprehensive comprehensive challenging challenging challenging insightful clear comprehensive comprehensive practical dense practical great clear great practical practical dense comprehensive,1601848800
84,Data Pipelines Pocket Reference,15.32,171,User 467,3,insightful dense insightful challenging comprehensive great dense dense insightful,1584054000
85,Clean Code,53.51,416,User 80,3,great challenging clear challenging insightful great clear challenging comprehensive insightful dense clear clear great comprehensive comprehensive comprehensive comprehensive practical,1597096800
86,Introduction to Algorithms,21.74,120,User 428,2,great challenging comprehensive great clear dense comprehensive comprehensive,1595541600
87,Data Pipelines Pocket Reference,47.28,3,User 310,2,clear insightful dense dense clear great clear comprehensive comprehensive comprehensive great insightful,1600293600
88,Building Microservices,61.85,232,User 61,5,comprehensive comprehensive dense dense great challenging comprehensive insightful dense dense comprehensive insightful comprehensive great clear comprehensive great clear clear challenging practical great dense dense practical challenging practical,1608159600
89,Effective Python,56.62,55,User 15,2,great comprehensive insightful comprehensive great comprehensive comprehensive insightful practical insightful challenging insightful practical challenging great challenging practical challenging clear,1582585200
90,Deep Learning with Python,77.38,20,User 60,2,challenging practical insightful challenging dense dense challenging comprehensive practical insightful challenging dense comprehensive challenging practical insightful great dense practical great practical practical insightful challenging comprehensive practical great practical,1595455200
91,Clean Code,69.26,345,User 196,2,great great great great insightful challenging great dense clear challenging clear great practical insightful great comprehensive clear dense comprehensive insightful comprehensive clear comprehensive practical clear great great,1607382000
92,Building Microservices,52.31,280,User 356,1,great challenging dense comprehensive dense practical insightful clear challenging comprehensive insightful insightful practical comprehensive dense challenging dense practical insightful comprehensive,1594677600
93,Introduction to Algorithms,42.39,308,User 442,5,dense insightful insightful great dense great insightful insightful practical clear challenging practical great insightful great clear comprehensive insightful insightful clear dense clear insightful clear challenging great challenging,1583622000
94,Effective Python,12.65,127,User 441,2,practical comprehensive dense dense great practical comprehensive insightful dense comprehensive dense practical comprehensive dense comprehensive great great challenging dense challenging insightful,1596319200
95,The Pragmatic Programmer,26.29,35,User 102,3,practical comprehensive practical insightful great practical comprehensive comprehensive clear great great challenging comprehensive,1596924000
96,Python Data Science Handbook,79.96,51,User 92,3,great clear comprehensive insightful insightful challenging great comprehensive great clear practical clear comprehensive insightful great great challenging comprehensive practical clear challenging practical challenging practical great clear comprehensive comprehensive practical,1596319200
97,Data Pipelines Pocket Reference,44.99,390,User 152,3,clear challenging clear dense challenging comprehensive insightful challenging insightful practical comprehensive challenging comprehensive insightful practical insightful,1589407200
98,Clean Code,42.54,53,User 401,3,great comprehensive insightful practical practical practical practical clear dense clear insightful insightful practical great clear comprehensive practical insightful,1583276400
99,The Pragmatic Programmer,39.86,305,User 424,2,challenging challenging great dense comprehensive challenging clear comprehensive practical comprehensive clear insightful challenging great great clear dense great,1577833200
100,Building Microservices,47.2,89,User 416,2,practical dense practical dense dense practical challenging practical dense great dense challenging insightful practical clear great great,1597096800
101,The Pragmatic Programmer,23.23,39,User 98,4,great comprehensive dense clear insightful clear clear clear,1595109600
102,Python Data Science Handbook,57.5,47,User 488,2,dense comprehensive comprehensive challenging practical clear practical insightful clear clear challenging clear,1584313200
103,The Pragmatic Programmer,62.45,481,User 186,5,dense great practical practical dense great dense challenging insightful insightful insightful comprehensive great great comprehensive practical dense dense dense comprehensive clear dense comprehensive challenging,1604790000
104,Hands-On Machine Learning,69.5,348,User 289,5,challenging clear practical clear dense insightful insightful great great insightful great comprehensive clear dense great insightful great comprehensive great clear clear great practical clear,1599602400
105,Clean Code,18.07,54,User 172,5,clear practical practical dense insightful challenging great great dense insightful dense challenging clear great dense challenging great,1598220000
106,Data Pipelines Pocket Reference,79.48,475,User 365,4,challenging practical great dense practical insightful comprehensive comprehensive great clear insightful practical challenging dense dense,1596492000
107,Python Data Science Handbook,52.73,7,User 43,3,comprehensive comprehensive challenging challenging insightful comprehensive challenging dense insightful insightful insightful practical insightful comprehensive insightful insightful,1589493600
108,Data Pipelines Pocket Reference,21.1,32,User 292,4,comprehensive challenging comprehensive clear insightful practical comprehensive great clear insightful practical comprehensive great,1608073200
109,Building Microservices,49.45,397,User 276,3,comprehensive insightful insightful great comprehensive great challenging insightful dense,1585004400
110,Clean Code,79.4,187,User 486,5,challenging dense practical practical comprehensive great great comprehensive insightful clear practical dense great comprehensive dense dense clear clear comprehensive practical clear practical dense clear practical,1593727200
111,Data Pipelines Pocket Reference,32.27,327,User 432,5,dense challenging great clear dense dense insightful challenging practical comprehensive challenging practical challenging dense comprehensive dense comprehensive comprehensive practical challenging great practical insightful clear dense comprehensive clear,1579302000
112,Data Pipelines Pocket Reference,75.41,65,User 55,2,challenging comprehensive dense practical comprehensive dense practical great challenging challenging dense insightful insightful,1597960800
113,Introduction to Algorithms,27.83,147,User 335,4,practical clear practical dense great comprehensive clear comprehensive,1578438000
114,Building Microservices,68.91,447,User 31,4,clear clear dense dense clear clear insightful clear challenging insightful dense great comprehensive clear great comprehensive practical great insightful insightful comprehensive practical great clear insightful dense,1603231200
115,Clean Code,58.83,307,User 451,4,insightful comprehensive great insightful great great insightful clear practical dense challenging clear challenging challenging dense great insightful clear challenging practical insightful challenging challenging great clear clear,1585004400
116,Hands-On Machine Learning,74.17,273,User 425,2,great dense practical challenging challenging challenging insightful practical dense practical comprehensive comprehensive great dense challenging insightful insightful comprehensive dense,1594159200
117,Introduction to Algorithms,36.59,425,User 367,2,dense clear comprehensive insightful insightful comprehensive great practical great great dense challenging insightful practical clear insightful challenging dense dense great,1596924000
118,Clean Code,10.57,440,User 136,3,clear insightful great comprehensive great challenging great comprehensive practical practical dense comprehensive clear clear clear clear challenging clear comprehensive practical great practical insightful dense insightful challenging,1580684400
119,Clean Code,31.51,310,User 370,4,insightful clear comprehensive challenging challenging great comprehensive insightful,1592085600
120,Data Pipelines Pocket Reference,43.71,264,User 176,5,comprehensive challenging practical practical comprehensive comprehensive comprehensive comprehensive dense dense challenging great dense insightful practical challenging insightful clear challenging challenging great comprehensive dense,1606086000
121,Data Pipelines Pocket Reference,29.89,158,User 487,4,clear practical insightful challenging clear clear practical comprehensive dense,1591826400
122,Effective Python,50.26,63,User 41,2,challenging practical great great great dense great clear insightful,1591308000
123,Python Data Science Handbook,54.76,65,User 204,1,clear great dense clear challenging challenging great comprehensive comprehensive,1601244000
124,Python Data Science Handbook,59.71,87,User 409,3,challenging clear practical practical great challenging challenging practical clear dense comprehensive dense insightful practical great great comprehensive dense clear insightful insightful clear practical dense practical dense insightful dense dense,1595023200
125,Python Data Science Handbook,69.97,374,User 145,5,dense challenging challenging practical dense practical great clear clear challenging practical great practical insightful clear challenging clear dense insightful insightful dense practical comprehensive insightful dense great,1599861600
126,Deep Learning with Python,67.36,293,User 297,5,challenging insightful comprehensive great practical dense comprehensive insightful challenging clear challenging practical challenging great clear clear dense comprehensive challenging insightful,1595455200
127,Effective Python,75.99,166,User 26,2,insightful insightful great challenging clear clear comprehensive challenging dense great comprehensive,1592085600
128,Designing Data-Intensive Applications,45.44,40,User 221,3,dense insightful comprehensive challenging clear insightful comprehensive practical clear great,1598306400
129,Python Data Science Handbook,10.02,365,User 106,5,challenging comprehensive comprehensive dense clear insightful insightful insightful great great challenging comprehensive practical practical insightful challenging dense comprehensive great challenging challenging insightful clear clear insightful great dense comprehensive great comprehensive,1588543200
130,Introduction to Algorithms,53.76,118,User 335,1,comprehensive challenging clear clear insightful challenging challenging dense challenging,1589493600
131,Deep Learning with Python,10.23,449,User 89,1,clear challenging comprehensive dense comprehensive challenging great comprehensive insightful challenging great practical challenging challenging practical practical clear insightful comprehensive comprehensive challenging challenging clear insightful dense great comprehensive comprehensive clear great,1587765600
132,Deep Learning with Python,57.41,98,User 339,3,insightful insightful comprehensive challenging practical dense dense dense practical clear great dense great challenging insightful comprehensive challenging clear great great insightful great comprehensive comprehensive dense,1591135200
133,Building Microservices,39.16,192,User 178,3,challenging great insightful dense comprehensive insightful challenging insightful comprehensive great comprehensive practical,1578438000
134,Deep Learning with Python,44.92,46,User 320,5,clear insightful great challenging insightful clear great practical great insightful insightful great,1590530400
135,Data Pipelines Pocket Reference,74.89,82,User 145,1,challenging insightful dense insightful great practical clear clear comprehensive practical insightful practical comprehensive insightful challenging comprehensive practical practical dense insightful clear clear dense,1583967600
136,Clean Code,33.32,376,User 488,3,dense comprehensive clear insightful comprehensive clear practical practical comprehensive challenging dense challenging challenging comprehensive challenging clear insightful dense challenging clear clear practical clear comprehensive insightful challenging comprehensive challenging,1578006000
137,Deep Learning with Python,72.76,141,User 286,5,clear dense practical dense dense clear great clear clear great clear clear clear,1605999600
138,Hands-On Machine Learning,36.4,297,User 201,2,great great practical insightful challenging practical dense challenging clear insightful comprehensive comprehensive comprehensive clear comprehensive insightful dense dense challenging dense dense,1597788000
139,Clean Code,36.34,158,User 61,5,great great comprehensive practical dense challenging dense practical clear,1598565600
140,The Pragmatic Programmer,59.91,104,User 85,3,clear insightful dense insightful clear dense comprehensive dense clear clear insightful challenging clear comprehensive practical challenging great practical practical comprehensive dense practical insightful comprehensive clear,1604876400
141,Building Microservices,46.53,326,User 354,4,challenging challenging clear great comprehensive challenging clear practical comprehensive great challenging insightful practical insightful,1582326000
142,Effective Python,51.21,156,User 195,1,dense practical challenging challenging dense clear dense insightful clear dense comprehensive insightful challenging dense comprehensive comprehensive insightful practical clear challenging,1604271600
143,Python Data Science Handbook,48.38,98,User 378,1,dense insightful great dense great great challenging insightful clear great great great comprehensive practical great challenging challenging clear,1600552800
144,Deep Learning with Python,41.98,391,User 190,2,comprehensive comprehensive comprehensive dense great insightful clear dense comprehensive great practical,1595023200
145,Python Data Science Handbook,35.09,426,User 374,3,insightful comprehensive practical insightful great insightful dense challenging clear practical clear practical comprehensive dense insightful great challenging clear practical great clear challenging practical challenging clear clear challenging great,1580079600
146,Deep Learning with Python,56.7,71,User 483,5,challenging great practical dense challenging dense clear challenging practical practical comprehensive practical clear practical comprehensive practical challenging dense dense dense insightful dense comprehensive clear,1604876400
147,Effective Python,45.77,94,User 346,3,great dense great challenging challenging great challenging challenging great comprehensive practical comprehensive insightful challenging great comprehensive great practical clear practical dense dense comprehensive practical clear,1608764400
148,Building Microservices,31.19,405,User 42,4,practical comprehensive insightful insightful comprehensive practical comprehensive clear challenging practical great insightful clear challenging,1586815200
149,Clean Code,49.94,84,User 420,4,clear insightful challenging practical insightful practical clear clear great challenging insightful great great practical insightful challenging comprehensive comprehensive practical great,1580943600
150,Clean Code,63.17,191,User 262,4,insightful practical challenging comprehensive practical practical great clear challenging clear great challenging practical challenging challenging practical,1597356000
151,Clean Code,66.58,74,User 93,1,clear dense dense challenging clear great great insightful great insightful practical great practical practical insightful comprehensive comprehensive insightful comprehensive,1596232800
152,The Pragmatic Programmer,24.15,116,User 217,2,practical clear challenging dense great great insightful practical practical clear dense comprehensive comprehensive,1579906800
153,Hands-On Machine Learning,57.18,83,User 319,5,insightful dense comprehensive challenging challenging insightful insightful challenging clear great clear comprehensive great practical clear dense insightful insightful comprehensive dense clear practical insightful dense insightful clear comprehensive,1581462000
154,Clean Code,50.49,402,User 362,5,practical great dense challenging challenging comprehensive dense insightful clear dense great practical great practical clear great challenging comprehensive challenging challenging practical insightful clear practical comprehensive clear challenging,1586469600
155,Introduction to Algorithms,52.08,23,User 103,5,dense insightful great insightful dense comprehensive dense comprehensive comprehensive challenging,1595368800
156,Introduction to Algorithms,15.1,293,User 224,4,insightful practical comprehensive great challenging dense dense dense practical challenging practical,1593986400
157,Data Pipelines Pocket Reference,51.05,331,User 492,5,challenging insightful clear comprehensive great clear practical clear dense comprehensive challenging dense challenging dense great clear great comprehensive insightful practical clear practical practical insightful insightful great dense clear comprehensive,1605654000
158,Python Data Science Handbook,55.78,73,User 340,1,insightful great practical comprehensive great practical great practical dense dense comprehensive challenging clear dense comprehensive practical challenging dense dense,1580511600
159,Effective Python,63.06,10,User 4,3,clear challenging insightful dense dense practical challenging clear practical challenging clear comprehensive clear dense great practical comprehensive comprehensive dense clear dense challenging comprehensive great clear challenging insightful,1591221600
160,Deep Learning with Python,45.52,251,User 272,1,insightful challenging comprehensive challenging challenging insightful practical great practical clear challenging comprehensive practical practical challenging dense dense practical great challenging great clear challenging insightful comprehensive dense great,1600466400
161,Clean Code,11.45,420,User 305,5,challenging great great clear dense insightful comprehensive practical practical great comprehensive great comprehensive clear practical insightful challenging,1583967600
162,The Pragmatic Programmer,77.75,268,User 21,1,practical great comprehensive great challenging great clear insightful clear practical comprehensive dense insightful dense practical challenging practical comprehensive great clear practical clear practical great clear great great practical insightful,1593986400
163,Deep Learning with Python,73.76,324,User 60,1,challenging insightful great practical challenging insightful great practical clear dense clear clear great comprehensive dense dense,1579906800
164,The Pragmatic Programmer,63.01,377,User 45,4,dense clear great dense dense clear comprehensive dense practical challenging comprehensive challenging practical challenging clear practical great insightful clear comprehensive dense practical practical challenging clear dense,1608246000
165,Data Pipelines Pocket Reference,48.85,73,User 292,4,dense practical practical insightful dense comprehensive dense clear comprehensive practical practical challenging challenging challenging dense great challenging great great dense,1602021600
166,Python Data Science Handbook,19.55,147,User 478,1,comprehensive insightful practical clear clear insightful challenging challenging insightful,1585177200
167,Hands-On Machine Learning,35.13,289,User 61,4,clear dense great insightful challenging comprehensive clear great great practical great comprehensive clear clear dense clear clear challenging dense insightful practical practical insightful insightful great dense challenging,1596492000
168,Building Microservices,74.7,39,User 364,3,dense comprehensive insightful clear great clear clear comprehensive dense practical,1584226800
169,Deep Learning with Python,32.87,466,User 14,1,practical great insightful practical dense clear dense comprehensive insightful,1587938400
170,Introduction to Algorithms,73.35,247,User 408,2,clear challenging insightful clear insightful comprehensive clear great great comprehensive insightful challenging challenging dense insightful dense challenging challenging great insightful,1607209200
171,Hands-On Machine Learning,40.19,312,User 333,5,practical comprehensive challenging practical practical insightful great dense challenging challenging dense great challenging clear great practical comprehensive insightful insightful clear insightful dense challenging clear clear clear practical,1583017200
172,Building Microservices,26.95,440,User 110,2,clear practical great challenging challenging challenging practical clear,1582585200
173,Designing Data-Intensive Applications,60.66,133,User 110,1,great challenging insightful comprehensive clear clear challenging challenging challenging challenging dense great practical insightful clear challenging practical comprehensive great great practical dense great practical clear,1589839200
